kuntanumero|nimi|URI
761|Somero|http://www.yso.fi/onto/yso/p105361
762|Sonkajärvi|http://www.yso.fi/onto/yso/p94417
763|Sortavala|http://www.yso.fi/onto/yso/p105300
764|Sortavalan maalaiskunta|http://www.yso.fi/onto/yso/p105906
765|Sotkamo|http://www.yso.fi/onto/yso/p94418
766|Sottunga|http://www.yso.fi/onto/yso/p111934
767|Suistamo|http://www.yso.fi/onto/yso/p107637
768|Sulkava|http://www.yso.fi/onto/yso/p105317
769|Sulva|http://www.yso.fi/onto/yso/p94422
770|Sumiainen|http://www.yso.fi/onto/yso/p108539
771|Sund|http://www.yso.fi/onto/yso/p94423
772|Suodenniemi|http://www.yso.fi/onto/yso/p121213
773|Suojärvi|http://www.yso.fi/onto/yso/p105450
774|Suolahti|http://www.yso.fi/onto/yso/p105888
775|Suomenniemi|http://www.yso.fi/onto/yso/p105613
776|Suomusjärvi|http://www.yso.fi/onto/yso/p94428
777|Suomussalmi|http://www.yso.fi/onto/yso/p105689
778|Suonenjoki|http://www.yso.fi/onto/yso/p94429
779|Suoniemi|http://www.yso.fi/onto/yso/p110756
780|Suursaari|http://www.yso.fi/onto/yso/p106662
781|Sysmä|http://www.yso.fi/onto/yso/p115084
782|Säkkijärvi|http://www.yso.fi/onto/yso/p94431
783|Säkylä|http://www.yso.fi/onto/yso/p105804
784|Särkisalo|http://www.yso.fi/onto/yso/p105394
785|Vaala|http://www.yso.fi/onto/yso/p106819
786|Säyneinen|http://www.yso.fi/onto/yso/p105712
787|Säynätsalo|http://www.yso.fi/onto/yso/p105268
788|Sääksmäki|http://www.yso.fi/onto/yso/p94432
789|Sääminki|http://www.yso.fi/onto/yso/p106112
790|Sastamala|http://www.yso.fi/onto/yso/p107725
791|Siikalatva|http://www.yso.fi/onto/yso/p163329
831|Taipalsaari|http://www.yso.fi/onto/yso/p109006
832|Taivalkoski|http://www.yso.fi/onto/yso/p106817
833|Taivassalo|http://www.yso.fi/onto/yso/p94433
834|Tammela|http://www.yso.fi/onto/yso/p105260
835|Tammisaari|http://www.yso.fi/onto/yso/p94435
836|Tammisaaren maalaiskunta|http://www.yso.fi/onto/yso/p112087
837|Tampere|http://www.yso.fi/onto/yso/p94436
838|Tarvasjoki|http://www.yso.fi/onto/yso/p105727
839|Teerijärvi|http://www.yso.fi/onto/yso/p94440
840|Teisko|http://www.yso.fi/onto/yso/p108505
841|Temmes|http://www.yso.fi/onto/yso/p105172
842|Tenhola|http://www.yso.fi/onto/yso/p105861
843|Terijoki|http://www.yso.fi/onto/yso/p105780
844|Tervo|http://www.yso.fi/onto/yso/p94441
845|Tervola|http://www.yso.fi/onto/yso/p94442
846|Teuva|http://www.yso.fi/onto/yso/p94443
847|Tiukka|http://www.yso.fi/onto/yso/p111846
848|Tohmajärvi|http://www.yso.fi/onto/yso/p105508
849|Toholampi|http://www.yso.fi/onto/yso/p105795
850|Toivakka|http://www.yso.fi/onto/yso/p94445
851|Tornio|http://www.yso.fi/onto/yso/p94446
852|Tottijärvi|http://www.yso.fi/onto/yso/p110574
853|Turku|http://www.yso.fi/onto/yso/p94447
854|Pello|http://www.yso.fi/onto/yso/p105479
855|Tuulos|http://www.yso.fi/onto/yso/p94451
856|Tuupovaara|http://www.yso.fi/onto/yso/p105749
857|Tuusniemi|http://www.yso.fi/onto/yso/p106571
858|Tuusula|http://www.yso.fi/onto/yso/p94452
859|Tyrnävä|http://www.yso.fi/onto/yso/p105372
860|Tyrväntö|http://www.yso.fi/onto/yso/p106322
861|Tyrvää|http://www.yso.fi/onto/yso/p94453
862|Tytärsaari|http://www.yso.fi/onto/yso/p109455
863|Töysä|http://www.yso.fi/onto/yso/p94454
864|Toijala|http://www.yso.fi/onto/yso/p94444
885|Ullava|http://www.yso.fi/onto/yso/p94455
886|Ulvila|http://www.yso.fi/onto/yso/p94456
887|Urjala|http://www.yso.fi/onto/yso/p106255
888|Uskela|http://www.yso.fi/onto/yso/p109879
889|Utajärvi|http://www.yso.fi/onto/yso/p94458
890|Utsjoki|http://www.yso.fi/onto/yso/p94459
891|Uukuniemi|http://www.yso.fi/onto/yso/p107591
892|Uurainen|http://www.yso.fi/onto/yso/p105836
893|Uusikaarlepyy|http://www.yso.fi/onto/yso/p94462
894|Uudenkaarlepyyn maalaiskunta|http://www.yso.fi/onto/yso/p111845
895|Uusikaupunki|http://www.yso.fi/onto/yso/p94463
896|Uudenkaupungin maalaiskunta|http://www.yso.fi/onto/yso/p110176
897|Uusikirkko|http://www.yso.fi/onto/yso/p94464
905|Vaasa|http://www.yso.fi/onto/yso/p94466
906|Vahto|http://www.yso.fi/onto/yso/p108747
907|Vahviala|http://www.yso.fi/onto/yso/p106714
908|Valkeakoski|http://www.yso.fi/onto/yso/p94469
909|Valkeala|http://www.yso.fi/onto/yso/p94470
910|Valkjärvi|http://www.yso.fi/onto/yso/p107488
911|Valtimo|http://www.yso.fi/onto/yso/p108501
912|Vammala|http://www.yso.fi/onto/yso/p94471
913|Vampula|http://www.yso.fi/onto/yso/p94472
914|Vanaja|http://www.yso.fi/onto/yso/p106323
915|Varkaus|http://www.yso.fi/onto/yso/p105237
916|Varpaisjärvi|http://www.yso.fi/onto/yso/p94475
917|Vehkalahti|http://www.yso.fi/onto/yso/p105199
918|Vehmaa|http://www.yso.fi/onto/yso/p94478
919|Vehmersalmi|http://www.yso.fi/onto/yso/p106675
920|Velkua|http://www.yso.fi/onto/yso/p105298
921|Vesanto|http://www.yso.fi/onto/yso/p105800
922|Vesilahti|http://www.yso.fi/onto/yso/p94480
923|Västanfjärd|http://www.yso.fi/onto/yso/p108813
924|Veteli|http://www.yso.fi/onto/yso/p94481
925|Vieremä|http://www.yso.fi/onto/yso/p94482
926|Vihanti|http://www.yso.fi/onto/yso/p105467
927|Vihti|http://www.yso.fi/onto/yso/p94484
928|Viiala|http://www.yso.fi/onto/yso/p94485
929|Viipuri|http://www.yso.fi/onto/yso/p94486
930|Viipurin maalaiskunta|http://www.yso.fi/onto/yso/p105856
931|Viitasaari|http://www.yso.fi/onto/yso/p94487
932|Viljakkala|http://www.yso.fi/onto/yso/p110106
933|Vilppula|http://www.yso.fi/onto/yso/p105340
934|Vimpeli|http://www.yso.fi/onto/yso/p105219
935|Virolahti|http://www.yso.fi/onto/yso/p94490
936|Virrat|http://www.yso.fi/onto/yso/p94491
937|Virtasalmi|http://www.yso.fi/onto/yso/p113329
938|Vuoksela|http://www.yso.fi/onto/yso/p106298
939|Vuoksenranta|http://www.yso.fi/onto/yso/p94492
940|Vuolijoki|http://www.yso.fi/onto/yso/p105173
941|Vårdö|http://www.yso.fi/onto/yso/p104969
942|Vähäkyrö|http://www.yso.fi/onto/yso/p108991
943|Värtsilä|http://www.yso.fi/onto/yso/p107972
944, 946|Vöyri|http://www.yso.fi/onto/yso/p94493
945|Vöyri-Maksamaa|http://www.yso.fi/onto/yso/p150235
971|Ylihärmä|http://www.yso.fi/onto/yso/p94495
972|Yli-Ii|http://www.yso.fi/onto/yso/p109587
973|Ylikiiminki|http://www.yso.fi/onto/yso/p94496
974|Ylimarkku|http://www.yso.fi/onto/yso/p108289
975|Ylistaro|http://www.yso.fi/onto/yso/p94497
976|Ylitornio|http://www.yso.fi/onto/yso/p94498
977|Ylivieska|http://www.yso.fi/onto/yso/p94499
978|Ylämaa|http://www.yso.fi/onto/yso/p94500
979|Yläne|http://www.yso.fi/onto/yso/p94501
980|Ylöjärvi|http://www.yso.fi/onto/yso/p105248
981|Ypäjä|http://www.yso.fi/onto/yso/p105542
988|Äetsä|http://www.yso.fi/onto/yso/p105150
989|Ähtäri|http://www.yso.fi/onto/yso/p100490
990|Ähtävä|http://www.yso.fi/onto/yso/p105522
991|Äyräpää|http://www.yso.fi/onto/yso/p108774
992|Äänekoski|http://www.yso.fi/onto/yso/p100491
993|Äänekosken maalaiskunta|http://www.yso.fi/onto/yso/p113262
997|Öja|http://www.yso.fi/onto/yso/p112505
